num,prov
1,Albacete
2,Alicante/Alacant
3,Almería
4,Araba/Álava
5,Asturias
6,Ávila
7,Badajoz
8,"Balears, Illes"
9,Barcelona
10,Bizkaia
11,Burgos
12,Cáceres
13,Cádiz
14,Cantabria
15,Castellón/Castelló
16,Ciudad Real
17,Córdoba
18,"Coruña, A"
19,Cuenca
20,Gipuzkoa
21,Girona
22,Granada
23,Guadalajara
24,Huelva
25,Huesca
26,Jaén
27,León
28,Lleida
29,Lugo
30,Madrid
31,Málaga
32,Murcia
33,Navarra
34,Ourense
35,Palencia
36,"Palmas, Las"
37,Pontevedra
38,"Rioja, La"
39,Salamanca
40,Santa Cruz de Tenerife
41,Segovia
42,Sevilla
43,Soria
44,Tarragona
45,Teruel
46,Toledo
47,Valencia/València
48,Valladolid
49,Zamora
50,Zaragoza
